id,outcome,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8
math-00660,fail,factorial,values,(none),(none),(none),(none),(none),(none)
math-00661,success,combinations,(none),(none),(none),(none),(none),(none),(none)
math-00662,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00663,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00664,success,limit_denominator,gcd,(none),(none),(none),(none),(none),(none)
math-00665,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00666,success,inches,(none),(none),(none),(none),(none),(none),(none)
math-00667,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00668,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00669,partial,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00670,success,factorial,(none),(none),(none),(none),(none),(none),(none)
math-00671,success,is_prime,(none),(none),(none),(none),(none),(none),(none)
math-00672,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00673,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00674,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00675,success,symbols,sqrt,(none),(none),(none),(none),(none),(none)
math-00676,success,symbols,symbols,(none),(none),(none),(none),(none),(none)
math-00677,success,symbols,python_interpreter,(none),(none),(none),(none),(none),(none)
math-00678,fail,floor,(none),(none),(none),(none),(none),(none),(none)
math-00679,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00680,partial,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00681,success,Fraction,gcd,(none),(none),(none),(none),(none),(none)
math-00682,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00683,success,symbols,subs,(none),(none),(none),(none),(none),(none)
math-00684,partial,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00685,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00686,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00687,success,comb,(none),(none),(none),(none),(none),(none),(none)
math-00688,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00689,success,sqrt,cos,(none),(none),(none),(none),(none),(none)
math-00690,fail,symbols,symbols,symbols,symbols,symbols,(none),(none),(none)
math-00691,success,python_interpreter,python_interpreter,(none),(none),(none),(none),(none),(none)
math-00692,success,primerange,(none),(none),(none),(none),(none),(none),(none)
math-00693,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00694,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00695,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00696,success,digit,(none),(none),(none),(none),(none),(none),(none)
math-00697,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00698,success,Fraction,python_interpreter,(none),(none),(none),(none),(none),(none)
math-00699,partial,symbols,pair,(none),(none),(none),(none),(none),(none)
math-00700,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00701,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00702,success,star_operation,(none),(none),(none),(none),(none),(none),(none)
math-00703,success,lcm,(none),(none),(none),(none),(none),(none),(none)
math-00704,success,point,(none),(none),(none),(none),(none),(none),(none)
math-00705,success,is_prime,(none),(none),(none),(none),(none),(none),(none)
math-00706,success,symbols,cosh,(none),(none),(none),(none),(none),(none)
math-00707,success,Rational,(none),(none),(none),(none),(none),(none),(none)
math-00708,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00709,success,factorial,(none),(none),(none),(none),(none),(none),(none)
math-00710,success,symbols,Eq,(none),(none),(none),(none),(none),(none)
math-00711,success,Rational,Rational,(none),(none),(none),(none),(none),(none)
math-00712,success,Fraction,Rational,(none),(none),(none),(none),(none),(none)
math-00713,success,f,(none),(none),(none),(none),(none),(none),(none)
math-00714,success,gcd,(none),(none),(none),(none),(none),(none),(none)
math-00715,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00716,success,pow,(none),(none),(none),(none),(none),(none),(none)
math-00717,success,(none),(none),(none),(none),(none),(none),(none),(none)
math-00718,partial,(none),(none),(none),(none),(none),(none),(none),(none)
math-00719,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00720,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00721,success,(none),(none),(none),(none),(none),(none),(none),(none)
math-00722,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00723,partial,simplify,(none),(none),(none),(none),(none),(none),(none)
math-00724,success,symbols,simplify,simplify,simplify,(none),(none),(none),(none)
math-00725,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00726,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00727,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00728,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00729,partial,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00730,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00731,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00732,success,symbols,subs,(none),(none),(none),(none),(none),(none)
math-00733,success,symbols,python_interpreter,(none),(none),(none),(none),(none),(none)
math-00734,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00735,success,sqrt,(none),(none),(none),(none),(none),(none),(none)
math-00736,partial,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00737,success,sqrt,(none),(none),(none),(none),(none),(none),(none)
math-00738,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00739,success,conjugate,(none),(none),(none),(none),(none),(none),(none)
math-00740,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00741,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00742,fail,gcd,(none),(none),(none),(none),(none),(none),(none)
math-00743,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00744,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00745,success,cos,(none),(none),(none),(none),(none),(none),(none)
math-00746,success,find_divisors,(none),(none),(none),(none),(none),(none),(none)
math-00747,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00748,success,(none),(none),(none),(none),(none),(none),(none),(none)
math-00749,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00750,success,sqrt,(none),(none),(none),(none),(none),(none),(none)
math-00751,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00752,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00753,fail,symbols,sqrt,(none),(none),(none),(none),(none),(none)
math-00754,success,(none),(none),(none),(none),(none),(none),(none),(none)
math-00755,success,Rational,Rational,Rational,python_interpreter,(none),(none),(none),(none)
math-00756,success,J,(none),(none),(none),(none),(none),(none),(none)
math-00757,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00758,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00759,success,(none),(none),(none),(none),(none),(none),(none),(none)
math-00760,partial,symbols,python_interpreter,(none),(none),(none),(none),(none),(none)
math-00761,fail,array,limit_denominator,(none),(none),(none),(none),(none),(none)
math-00762,success,Rational,(none),(none),(none),(none),(none),(none),(none)
math-00763,success,factorint,python_interpreter,(none),(none),(none),(none),(none),(none)
math-00764,success,comb,comb,(none),(none),(none),(none),(none),(none)
math-00765,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00766,fail,python_interpreter,ceil,(none),(none),(none),(none),(none),(none)
math-00767,success,gcd,(none),(none),(none),(none),(none),(none),(none)
math-00768,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00769,partial,sqrt,(none),(none),(none),(none),(none),(none),(none)
math-00770,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00771,success,floor,(none),(none),(none),(none),(none),(none),(none)
math-00772,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00773,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00774,success,factorial,(none),(none),(none),(none),(none),(none),(none)
math-00775,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00776,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00777,partial,(none),(none),(none),(none),(none),(none),(none),(none)
math-00778,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00779,success,test_sign,(none),(none),(none),(none),(none),(none),(none)
math-00780,success,radians,(none),(none),(none),(none),(none),(none),(none)
math-00781,success,python_interpreter,factorint,(none),(none),(none),(none),(none),(none)
math-00782,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00783,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00784,partial,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00785,success,sqrt,(none),(none),(none),(none),(none),(none),(none)
math-00786,success,sqrt,(none),(none),(none),(none),(none),(none),(none)
math-00787,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00788,partial,expression,(none),(none),(none),(none),(none),(none),(none)
math-00789,success,endswith,(none),(none),(none),(none),(none),(none),(none)
math-00790,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00791,partial,(none),(none),(none),(none),(none),(none),(none),(none)
math-00792,partial,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00793,success,web_search,(none),(none),(none),(none),(none),(none),(none)
math-00794,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00795,success,ceil,(none),(none),(none),(none),(none),(none),(none)
math-00796,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00797,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00798,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00799,success,Fraction,python_interpreter,python_interpreter,(none),(none),(none),(none),(none)
math-00800,partial,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00801,success,gcd,(none),(none),(none),(none),(none),(none),(none)
math-00802,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00803,success,Rational,(none),(none),(none),(none),(none),(none),(none)
math-00804,success,sqrt,(none),(none),(none),(none),(none),(none),(none)
math-00805,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00806,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00807,success,(none),(none),(none),(none),(none),(none),(none),(none)
math-00808,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00809,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00810,success,is_prime,(none),(none),(none),(none),(none),(none),(none)
math-00811,partial,Interval,(none),(none),(none),(none),(none),(none),(none)
math-00812,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00813,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00814,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00815,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00816,success,python_interpreter,greatest_prime_factor,(none),(none),(none),(none),(none),(none)
math-00817,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00818,success,Matrix,(none),(none),(none),(none),(none),(none),(none)
math-00819,partial,symbols,python_interpreter,(none),(none),(none),(none),(none),(none)
math-00820,success,symbols,symbols,symbols,(none),(none),(none),(none),(none)
math-00821,success,lcm,(none),(none),(none),(none),(none),(none),(none)
math-00822,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00823,success,(none),(none),(none),(none),(none),(none),(none),(none)
math-00824,success,factorint,(none),(none),(none),(none),(none),(none),(none)
math-00825,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00826,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00827,success,Fraction,rstrip,rstrip,gcd,(none),(none),(none),(none)
math-00828,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00829,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00830,partial,sqrt,(none),(none),(none),(none),(none),(none),(none)
math-00831,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00832,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00833,success,lcm,(none),(none),(none),(none),(none),(none),(none)
math-00834,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00835,success,array,(none),(none),(none),(none),(none),(none),(none)
math-00836,success,is,(none),(none),(none),(none),(none),(none),(none)
math-00837,fail,linspace,linspace,linspace,symbols,(none),(none),(none),(none)
math-00838,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00839,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00840,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00841,success,gcd,(none),(none),(none),(none),(none),(none),(none)
math-00842,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00843,partial,log,(none),(none),(none),(none),(none),(none),(none)
math-00844,success,simplify,simplify,simplify,(none),(none),(none),(none),(none)
math-00845,success,gcd,(none),(none),(none),(none),(none),(none),(none)
math-00846,fail,pow,ceil,(none),(none),(none),(none),(none),(none)
math-00847,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00848,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00849,partial,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00850,success,primerange,(none),(none),(none),(none),(none),(none),(none)
math-00851,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00852,success,f,(none),(none),(none),(none),(none),(none),(none)
math-00853,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00854,fail,(none),(none),(none),(none),(none),(none),(none),(none)
math-00855,success,sqrt,(none),(none),(none),(none),(none),(none),(none)
math-00856,success,symbols,symbols,symbols,(none),(none),(none),(none),(none)
math-00857,success,items,(none),(none),(none),(none),(none),(none),(none)
math-00858,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00859,success,symbols,python_interpreter,(none),(none),(none),(none),(none),(none)
math-00860,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00861,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00862,success,symbols,sin,(none),(none),(none),(none),(none),(none)
math-00863,success,prod,(none),(none),(none),(none),(none),(none),(none)
math-00864,success,prime_factors,(none),(none),(none),(none),(none),(none),(none)
math-00865,success,comb,(none),(none),(none),(none),(none),(none),(none)
math-00866,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00867,fail,decimal_to_base_four,decimal_to_base_four,decimal_to_base_four,(none),(none),(none),(none),(none)
math-00868,partial,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00869,success,combinations,(none),(none),(none),(none),(none),(none),(none)
math-00870,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00871,fail,symbols,subs,subs,subs,subs,(none),(none),(none)
math-00872,success,cos,(none),(none),(none),(none),(none),(none),(none)
math-00873,fail,python_interpreter,limit_denominator,limit_denominator,(none),(none),(none),(none),(none)
math-00874,success,primefactors,(none),(none),(none),(none),(none),(none),(none)
math-00875,success,simplify,(none),(none),(none),(none),(none),(none),(none)
math-00876,success,gcd,(none),(none),(none),(none),(none),(none),(none)
math-00877,success,symbols,python_interpreter,symbols,symbols,(none),(none),(none),(none)
math-00878,success,sqrt,(none),(none),(none),(none),(none),(none),(none)
math-00879,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00880,success,floor,(none),(none),(none),(none),(none),(none),(none)
math-00881,success,(none),(none),(none),(none),(none),(none),(none),(none)
math-00882,success,symbols,solveset,(none),(none),(none),(none),(none),(none)
math-00883,success,sqrt,(none),(none),(none),(none),(none),(none),(none)
math-00884,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00885,partial,cos,(none),(none),(none),(none),(none),(none),(none)
math-00886,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00887,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00888,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00889,partial,symbols,limit,solve,(none),(none),(none),(none),(none)
math-00890,success,is_palindrome,(none),(none),(none),(none),(none),(none),(none)
math-00891,success,comb,(none),(none),(none),(none),(none),(none),(none)
math-00892,success,lcm,(none),(none),(none),(none),(none),(none),(none)
math-00893,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00894,success,(none),(none),(none),(none),(none),(none),(none),(none)
math-00895,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00896,fail,factorial,gcd,(none),(none),(none),(none),(none),(none)
math-00897,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00898,fail,(none),(none),(none),(none),(none),(none),(none),(none)
math-00899,success,isprime,python_interpreter,(none),(none),(none),(none),(none),(none)
math-00900,fail,simplify,Rational,Rational,(none),(none),(none),(none),(none)
math-00901,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00902,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00903,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00904,fail,symbols,python_interpreter,solve,symbols,Rational,(none),(none),(none)
math-00905,success,symbols,Matrix,(none),(none),(none),(none),(none),(none)
math-00906,partial,Rational,root,(none),(none),(none),(none),(none),(none)
math-00907,success,symbols,symbols,(none),(none),(none),(none),(none),(none)
math-00908,partial,symbols,subs,(none),(none),(none),(none),(none),(none)
math-00909,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00910,partial,(none),(none),(none),(none),(none),(none),(none),(none)
math-00911,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00912,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00913,success,radians,(none),(none),(none),(none),(none),(none),(none)
math-00914,fail,f,Rational,(none),(none),(none),(none),(none),(none)
math-00915,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00916,success,symbols,p,(none),(none),(none),(none),(none),(none)
math-00917,success,find_period,(none),(none),(none),(none),(none),(none),(none)
math-00918,success,symbols,symbols,(none),(none),(none),(none),(none),(none)
math-00919,partial,symbols,factor,(none),(none),(none),(none),(none),(none)
math-00920,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00921,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00922,success,gcd,(none),(none),(none),(none),(none),(none),(none)
math-00923,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00924,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00925,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00926,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00927,fail,Fraction,limit_denominator,(none),(none),(none),(none),(none),(none)
math-00928,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00929,partial,(none),(none),(none),(none),(none),(none),(none),(none)
math-00930,fail,(none),(none),(none),(none),(none),(none),(none),(none)
math-00931,success,nextprime,(none),(none),(none),(none),(none),(none),(none)
math-00932,success,factorial,(none),(none),(none),(none),(none),(none),(none)
math-00933,success,sqrt,sqrt,(none),(none),(none),(none),(none),(none)
math-00934,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00935,success,is_prime,(none),(none),(none),(none),(none),(none),(none)
math-00936,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00937,success,sin,(none),(none),(none),(none),(none),(none),(none)
math-00938,success,lcm,(none),(none),(none),(none),(none),(none),(none)
math-00939,success,python_interpreter,python_interpreter,(none),(none),(none),(none),(none),(none)
math-00940,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00941,success,symbols,sqrt,simplify,(none),(none),(none),(none),(none)
math-00942,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00943,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00944,success,symbols,Eq,(none),(none),(none),(none),(none),(none)
math-00945,success,base,(none),(none),(none),(none),(none),(none),(none)
math-00946,success,(none),(none),(none),(none),(none),(none),(none),(none)
math-00947,success,symbols,pairs,(none),(none),(none),(none),(none),(none)
math-00948,success,sqrt,(none),(none),(none),(none),(none),(none),(none)
math-00949,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00950,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00951,success,(none),(none),(none),(none),(none),(none),(none),(none)
math-00952,partial,array,symbols,(none),(none),(none),(none),(none),(none)
math-00953,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00954,success,gcd,(none),(none),(none),(none),(none),(none),(none)
math-00955,success,solve_congruence,(none),(none),(none),(none),(none),(none),(none)
math-00956,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00957,success,largest_prime_factor,(none),(none),(none),(none),(none),(none),(none)
math-00958,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00959,fail,comb,Fraction,gcd,(none),(none),(none),(none),(none)
math-00960,success,Rational,(none),(none),(none),(none),(none),(none),(none)
math-00961,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00962,success,limit_denominator,gcd,gcd,(none),(none),(none),(none),(none)
math-00963,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00964,success,(none),(none),(none),(none),(none),(none),(none),(none)
math-00965,success,decimal_to_base4,(none),(none),(none),(none),(none),(none),(none)
math-00966,success,array,python_interpreter,(none),(none),(none),(none),(none),(none)
math-00967,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00968,success,combinations,(none),(none),(none),(none),(none),(none),(none)
math-00969,success,web_search,(none),(none),(none),(none),(none),(none),(none)
math-00970,partial,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00971,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00972,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00973,success,symbols,symbols,symbols,python_interpreter,(none),(none),(none),(none)
math-00974,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00975,partial,Rational,(none),(none),(none),(none),(none),(none),(none)
math-00976,success,rectangle,(none),(none),(none),(none),(none),(none),(none)
math-00977,success,count,(none),(none),(none),(none),(none),(none),(none)
math-00978,success,p,(none),(none),(none),(none),(none),(none),(none)
math-00979,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00980,success,digits,(none),(none),(none),(none),(none),(none),(none)
math-00981,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00982,success,factorial,(none),(none),(none),(none),(none),(none),(none)
math-00983,success,(none),(none),(none),(none),(none),(none),(none),(none)
math-00984,success,symbols,python_interpreter,(none),(none),(none),(none),(none),(none)
math-00985,success,digit,(none),(none),(none),(none),(none),(none),(none)
math-00986,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00987,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00988,success,comb,(none),(none),(none),(none),(none),(none),(none)
math-00989,partial,(none),(none),(none),(none),(none),(none),(none),(none)
math-00990,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00991,success,point,(none),(none),(none),(none),(none),(none),(none)
math-00992,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00993,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00994,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00995,partial,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00996,fail,Abs,latex,(none),(none),(none),(none),(none),(none)
math-00997,fail,sqrt,sqrt,(none),(none),(none),(none),(none),(none)
math-00998,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00999,partial,(none),(none),(none),(none),(none),(none),(none),(none)
math-01000,fail,symbols,symbols,(none),(none),(none),(none),(none),(none)
math-01001,success,symbols,solve,(none),(none),(none),(none),(none),(none)
math-01002,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-01003,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-01004,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-01005,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-01006,partial,gcd,(none),(none),(none),(none),(none),(none),(none)
math-01007,success,factorial,(none),(none),(none),(none),(none),(none),(none)
math-01008,partial,symbols,(none),(none),(none),(none),(none),(none),(none)
math-01009,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-01010,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-01011,partial,Rational,python_interpreter,python_interpreter,(none),(none),(none),(none),(none)
